#http://service.scedc.caltech.edu/station/weblist_vert.php#"WGS-84 reference ellipsoid"
#From SCEDC station database
#
#10/09/2017 13:41:30
#NT STA   CHA LOC STANAME                          LAT      LON         ELEV ONDATE     OFFDATE
CE  00022 HNZ  -- Winterhaven - Sheriff Substati   32.73900 -114.63570    40 1999/12/01 3000/01/01
CE  01711 HNZ  -- El Centro - Imperial & Ross      32.77970 -115.56750    -7 2002/12/10 3000/01/01
CE  01794 HNZ  -- El Centro - Meloland Geotechni   32.77380 -115.44860    -4 2016/05/24 3000/01/01
CE  02140 HNZ  -- El Cajon - Marshall & Vernon     32.81350 -116.97540   119 2002/11/06 3000/01/01
CE  02143 HNZ  -- Santee - Mission Gorge & Cotto   32.83990 -116.97410   108 2002/11/06 3000/01/01
CE  02143 HNZ  -- Santee - Mission Gorge & Cotto   32.84000 -116.97400   108 2001/08/20 2002/11/06
CE  02467 HNZ  -- Alpine - Fire Station            32.83790 -116.77490   527 1999/12/16 3000/01/01
CE  02496 HNZ  -- Campo - I8 & Church Rd           32.65110 -116.36560  1009 2011/05/16 3000/01/01
CE  02498 HNZ  -- Jacumba - Seely & Railroad       32.61950 -116.19210   860 2011/05/17 3000/01/01
CE  02501 HNZ  -- Julian - Hwy 79 & Engineers Rd   32.99210 -116.58580  1430 2011/12/06 3000/01/01
CE  03121 HNZ  -- San Diego - Ocean Beach Fire S   32.74880 -117.24180    11 2005/01/18 3000/01/01
CE  03121 HNZ  -- San Diego - Ocean Beach Fire S   32.74900 -117.24100    11 2004/01/01 2005/01/18
CE  03139 HNZ  -- La Mesa - I8 & Hwy 125           32.77360 -117.00130   179 2002/11/06 3000/01/01
CE  03139 HNZ  -- La Mesa - I8 & Hwy 125           32.77400 -117.00100   179 2001/08/20 2002/11/05
CE  03145 HNZ  -- San Diego - 8th & J St           32.70960 -117.15790    11 2005/05/19 3000/01/01
CE  03145 HNZ  -- San Diego - 8th & J St           32.71000 -117.15800    11 2001/08/27 2005/05/18
CE  03146 HNZ  -- San Diego - I5 & Laurel          32.72960 -117.16930    18 2002/11/06 3000/01/01
CE  03146 HNZ  -- San Diego - I5 & Laurel          32.72990 -117.16900    18 2001/08/27 2002/11/06
CE  03147 HNZ  -- San Diego - Hwy 15 & Ocean Vie   32.70160 -117.11990    14 2002/11/05 3000/01/01
CE  03148 HNZ  -- San Diego - 54th & College Gro   32.73500 -117.08000    79 2002/11/06 2005/05/30
CE  03148 HNZ  -- San Diego - 54th & College Gro   32.73540 -117.08000    79 2005/05/31 3000/01/01
CE  03150 HNZ  -- Pacific Beach - Mission & Gran   32.79490 -117.25530     5 2005/05/18 3000/01/01
CE  03150 HNZ  -- Pacific Beach - Mission & Gran   32.79500 -117.25500     5 2002/11/07 2005/05/17
CE  03151 HNZ  -- San Diego - Balboa & Mt Aberna   32.82200 -117.17500   118 2004/03/23 2005/05/17
CE  03151 HNZ  -- San Diego - Balboa & Mt Aberna   32.82210 -117.17460   118 2005/05/18 3000/01/01
CE  03152 HNZ  -- Spring Valley - Jamacha & Gill   32.70970 -117.00680    79 2002/11/06 3000/01/01
CE  03154 HNZ  -- San Diego - 45th & Orange        32.75350 -117.09680   104 2002/11/06 3000/01/01
CE  03155 HNZ  -- San Diego - Briarwood & Paradi   32.69200 -117.03720   143 2005/05/24 3000/01/01
CE  03155 HNZ  -- San Diego - Briarwood & Paradi   32.69200 -117.03700   143 2002/11/06 2005/05/23
CE  03156 HNZ  -- San Diego - Mira Mesa & Camino   32.91500 -117.14200   131 2002/11/07 2005/05/17
CE  03156 HNZ  -- San Diego - Mira Mesa & Camino   32.91540 -117.14230   131 2005/05/18 3000/01/01
CE  03234 HNZ  -- La Jolla - UCSD Hospital Groun   32.87700 -117.22600   103 2004/04/17 2010/12/01
CE  03234 HNZ  -- La Jolla - UCSD Hospital Groun   32.87730 -117.22710   103 2010/12/01 2012/04/03
CE  03260 HNZ  -- Poway - Community Rd & Civic C   32.95450 -117.04160   149 2005/01/26 3000/01/01
NP  1002  HNZ  -- CA:Redwood City;APEEL  #2        37.52886 -122.25522     2 2000/04/13 3000/01/01
CE  10021 HNZ  -- Blythe - Fire Station            33.60990 -114.71510   119 1999/11/30 3000/01/01
NP  1003  HNZ  -- CA:Belmont;APEEL Sta 6           37.49403 -122.29770   268 2005/04/14 3000/01/01
NP  1023  HNZ  -- CA:Ferndale;FS                   40.57616 -124.26367    16 1999/12/17 2017/08/04
NP  1023  HNZ  -- CA:Ferndale;FS                   40.57616 -124.26367    17 2017/08/14 3000/01/01
NP  1041  EHZ  10 CA:Maricopa Array #1             34.99770 -119.48580   837 2017/01/11 3000/01/01
NP  1041  HNZ  10 CA:Maricopa Array #1             34.99771 -119.48584   837 2016/10/19 3000/01/01
NP  1083  HNZ  0B CA:San Luis Obispo;Rec Cntr      35.28427 -120.66101    80 1992/09/22 3000/01/01
TA  109C  BHZ  -- Camp Elliot, Miramar, CA, USA    32.88890 -117.10510   150 2004/05/04 3000/01/01
TA  109C  LHZ  -- Camp Elliot, Miramar, CA, USA    32.88890 -117.10510   150 2004/05/04 3000/01/01
CE  11023 HNZ  -- Niland - Fire Station            33.23890 -115.51280   -42 2002/11/21 3000/01/01
CE  11217 HNZ  -- North Shore - Hwy 111 & Parksi   33.51080 -115.91980   -62 2004/03/24 3000/01/01
CE  11369 HNZ  -- Westmorland - Fire Station       33.03700 -115.62350   -49 2002/11/21 3000/01/01
CE  11625 HNZ  -- Mecca - CVWD Yard                33.56410 -115.98760     9 2005/01/25 3000/01/01
